SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
2118N-A,Polvo compacto Note Worthy Glitter Story, 29.00,683.0, 24.00,VB,Active,2027-12-01,Maquillaje,Polvo compacto,12
2280-47,Fijador De Maquillaje Karité Aloe Vera Control de aceite y refrescante, 45.00,0.0, 38.00,VB,Inactive,2028-03-22,Maquillaje,Fijador de maquillaje,12
2368-47,Fijador De Maquillaje Kiss beauty Antioxidante & Control de grasa, 57.00,14.0, 48.00,VB,Inactive,,Maquillaje,Fijador de maquillaje,12
2377-47B,Limpiador Facial Karité 150ml Rosas, 71.00,336.0, 60.00,VB,Active,2028-06-01,Maquillaje,Desmaquillante ó Limpiador facial,12
2377-47C,Limpiador Facial Karité 150ml Vitamin E, 71.00,347.0, 60.00,VB,Active,2028-06-01,Maquillaje,Desmaquillante ó Limpiador facial,12
2377-47A,Limpiador Facial Karité 150ml Aloe, 71.00,276.0, 60.00,VB,Active,2028-06-01,Maquillaje,Desmaquillante ó Limpiador facial,12
35008-1,Lapiz Labial Mate Beauty Model Matte 35008-1, 13.00,42.0, 11.00,VB,Active,2027-09-01,Maquillaje,Labios,24
35002-1,Lapiz Labial Mate Beauty Model Matte 35002-1, 13.00,474.0, 11.00,VB,Active,2027-06-01,Maquillaje,Labios,24
56853-47,Mascara pestaña Karite 56853-47, 26.00,144.0, 22.00,VB,Active,2027-11-01,Maquillaje,Mascara,24
56939-03HA,Gel de cejas con Ácido Hialurónico, 22.00,384.0, 18.00,VB,Active,2028-04-01,Maquillaje,Mascara,24
68555-03,Primer Beauty Plump Prime, 57.00,156.0, 48.00,VB,Active,2028-06-01,Maquillaje,Primers de maquillaje,12
8166-01#,Sombra para Ojos Anylady Believe in yourselve, 65.00,12.0, 55.00,VB,Active,2027-03-05,Maquillaje,Sombra,12
8658FC,"Sombra para Ojos Sombra, Iluminador, Blush Anylady", 97.00,60.0, 76.86,BISUTERIA,Active,2028-04-01,Maquillaje,Sombra,12
8842E,Corrector Mate Ever Beauty 8842E, 22.00,71.0, 18.00,VB,Active,2028-07-01,Maquillaje,Corrector,36
8844E,Corrector Mate Ever Beauty 8844E, 22.00,431.0, 18.00,VB,Active,2028-06-01,Maquillaje,Corrector,36
8843E,Corrector Mate Ever Beauty 8843E, 22.00,648.0, 18.00,VB,Active,2028-07-01,Maquillaje,Corrector,24
9206N-L9,Polvo compacto Note Worthy Flash touch 9206N-L9, 28.00,960.0, 23.00,VB,Active,2026-01-01,Maquillaje,Polvo compacto,24
9301N-B,Polvo compacto Note Worthy Natural nude, 29.00,528.0, 24.00,VB,Active,2027-12-01,Maquillaje,Polvo compacto,12
A-3496,Polvo Compacto Mayeiline A-3496, 36.00,792.0, 30.00,VB,Active,2028-05-01,Maquillaje,Polvo compacto,12
A-3495,Polvo Compacto Mayeiline A-3495, 36.00,695.0, 30.00,VB,Active,2028-05-01,Maquillaje,Polvo compacto,12
B51,Primer Mac Skin Base Visage, 36.00,1284.0, 30.00,VB,Active,2027-04-01,Maquillaje,Primers de maquillaje,12
B7031,Lapiz Labial Mate Beauty Model 24hr, 13.00,96.0, 11.00,VB,Active,2027-05-01,Maquillaje,Labios,24
BOCR/009,Body 3 Pzas Pink in Sweet BOCR-009, 75.00,1.0, 63.00,VB,Inactive,,Cuidado personal,Fragancias,12
C009,Esponja para maquillar 6 Piezas Kiss Lovely C009, 23.00,0.0, 19.00,VB,Inactive,2029-01-01,Maquillaje,Esponjas de maquillaje,12
C008,Esponja para maquillar 6 Piezas Kiss Lovely C008, 23.00,240.0, 19.00,VB,Active,2029-01-01,Maquillaje,Esponjas de maquillaje,12
CL822,Corrector Liquido Scanlon CL822, 17.00,336.0, 14.00,VB,Active,2027-01-01,Maquillaje,Corrector,24
CL812,Base de Maquillaje Scanlon CL812, 48.00,12.0, 40.00,VB,Active,2026-01-01,Maquillaje,Base de maquillaje,12
ES6016,Sombra Favor Beauty Beach, 53.00,543.0, 45.00,VB,Active,2026-07-01,Maquillaje,Sombra,16
ES6107,Sombra Favor Beauty Kitty, 53.00,34.0, 45.00,VB,Active,2026-06-01,Maquillaje,Sombra,16
F004,Base Lorea SPF50+ Antioxidante, 20.00,3305.0, 16.00,VB,Active,2026-01-01,Maquillaje,Base de maquillaje,12
F003,Base Maybelline SPF50+ Alta cobertura, 25.00,2898.0, 16.00,VB,Active,2026-01-01,Maquillaje,Base de maquillaje,12
F007A,Primer CHANLANYA glitter, 38.00,168.0, 32.00,VB,Active,2026-01-01,Maquillaje,Primers de maquillaje,12
F007B,Primer CHANLANYA transparente, 38.00,192.0, 32.00,VB,Active,2026-01-01,Maquillaje,Primers de maquillaje,12
FP-375,Esponja Puff Sweet beauty FP-375, 38.00,2.0, 32.00,VB,Inactive,2029-01-01,Maquillaje,Esponjas de maquillaje,12
GJ7192,Tonico Facial de Acido Hialuronico 150ml GuanJing, 53.00,71.0, 45.00,VB,Active,2028-05-01,Maquillaje,Tonico facial,12
H64070 C,Base Huda Beauty Matte FPS 50+ todo tipo de pieles, 50.00,972.0, 42.00,VB,Active,2028-04-01,Maquillaje,Base de maquillaje,12
H98144-A,Lápiz Labial Huda Matte H98144-A, 15.00,3402.0, 12.00,VB,Active,2028-06-01,Maquillaje,Labios,24
H98149-24B,Lápiz Labial Huda Colores que duran todo el dia, 15.00,3624.0, 12.00,VB,Active,2028-04-01,Maquillaje,Labios,24
JM-570,Pestañas 1pcs Nooralazawi Nudes 3D, 12.00,40.0, 10.00,VB,Active,2026-01-01,Maquillaje,Articulos para pestañas,12
JM-603,Pestañas 1pcs Nooralazawi hechas a mano 5D, 12.00,208.0, 10.00,VB,Active,2026-01-01,Maquillaje,Articulos para pestañas,10
JM-599,Pestañas 1 pcs Nooralazawi hechas a mano 3D, 12.00,32.0, 10.00,VB,Active,2026-01-01,Maquillaje,Articulos para pestañas,10
