ITEM_ID,SKU (Código de artículo),Nombre,Existencias a mano,Tarifa de compra,Tasa,Fecha de vencimiento,Fabricante
5467547000000328205,BX3626,Piedra Jade,"1,080",NIO28.00,NIO32.94,01 ene 2029,VB
5467547000000323743,S21-021,Pincel Para Uñas,34,NIO12.00,NIO13.48,01 ene 2026,Stay
5467547000000342173,S2-0868,Pinza Depiladora para Ceja Stay,246,NIO16.00,NIO19.00,01 ene 2029,Stay
5467547000000295029,LO904,Polvo Banana Suelto Scanlon Iluminador Bronzing,57,NIO10.00,NIO11.76,01 ene 2026,VB
5467547000000334025,9815V,Polvo Compacto 2 en 1 Viktorisa Sempre,696,NIO24.00,NIO28.24,01 dic 2026,VB
5467547000000321124,M22-51,Polvo Compacto Doble Million Pauline tono claro,81,NIO45.00,NIO52.94,01 ene 2026,VB
5467547000000316953,A-3495,Polvo Compacto Mayeiline A-3495,779,NIO30.00,NIO35.29,01 may 2028,VB
5467547000000316856,A-3496,Polvo Compacto Mayeiline A-3496,828,NIO30.00,NIO35.29,01 may 2028,VB
5467547000000329951,9206N,Polvo Compacto Note Flash Touch 9206N,840,NIO18.00,NIO21.18,01 ene 2026,VB
5467547000000314916,1721N-B,Polvo Compacto Note Worthy 1721N-B,672,NIO24.00,NIO28.24,01 dic 2027,VB
5467547000000316662,9206N-L9,Polvo compacto Note Worthy Flash touch 9206N-L9,"1,008",NIO23.00,NIO27.06,01 ene 2026,VB
5467547000000315110,2118N-A,Polvo compacto Note Worthy Glitter Story,695,NIO24.00,NIO28.24,01 dic 2027,VB
5467547000000316759,9301N-B,Polvo compacto Note Worthy Natural nude,528,NIO24.00,NIO28.24,01 dic 2027,VB
5467547000000332764,VS8861,Polvo Compacto Viktorisa Sempre,835,NIO22.00,NIO25.88,01 dic 2028,VB
5467547000000558247,WA-174,Polvo Compacto WAO!,264,NIO32.00,NIO37.00,01 dic 2025,Stay
5467547000000329466,VS1712,Polvo Compacto y Bronceador Viktorisa Sempre,744,NIO32.00,NIO37.65,01 ene 2026,VB
5467547000000320445,LO903,Polvo suelto banana Scanlon,36,NIO27.00,NIO31.76,01 ene 2027,VB
5467547000000332958,LO902,Polvo Suelto Scalon,23,NIO22.00,NIO25.88,01 ene 2027,VB
5467547000000329660,2188VS,Polvo Suelto Viktorisa Sempre,948,NIO25.00,NIO29.41,01 dic 2026,VB
5467547000000297163,2056,Primer 24k Rose Silver Kaliya Beauty,624,NIO11.00,NIO12.94,01 ago 2028,VB
5467547000000321706,P004,Primer baby skin Maybelline borrador de poros,"3,828",NIO14.00,NIO18.00,01 ene 2026,VB
5467547000000321803,P003,Primer base Mate Infalible Lorel,"3,348",NIO14.00,NIO18.00,01 ene 2026,VB
5467547000000318117,F007A,Primer CHANLANYA glitter,180,NIO32.00,NIO37.65,01 ene 2026,VB
5467547000000318214,F007B,Primer CHANLANYA transparente,204,NIO32.00,NIO37.65,01 ene 2026,VB
